año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,14,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,EN BLANCO,2,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,NULO,2,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,132,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,POSITIVO,88,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,POSITIVO,80,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,POSITIVO,33,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,EN BLANCO,61,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,NULO,2,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,133,NATIVOS,349,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,110,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,110,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,COMANDO,3,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,EN BLANCO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,NULO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,111,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,90,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,75,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,POSITIVO,38,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,EN BLANCO,52,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,NULO,3,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,112,NATIVOS,347,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,115,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,115,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,RECURRIDO,1,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,115,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,POSITIVO,0,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,EN BLANCO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,NULO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,116,NATIVOS,348,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,100,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,77,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,POSITIVO,29,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,EN BLANCO,3,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,NULO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,IMPUGNADO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,RECURRIDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,117,NATIVOS,350,3,DIPUTADOS/AS NACIONALES,COMANDO,0,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,118,NATIVOS,351,3,DIPUTADOS/AS NACIONALES,POSITIVO,98,30502,UNION POR LA PATRIA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,118,NATIVOS,351,3,DIPUTADOS/AS NACIONALES,POSITIVO,73,30501,LA LIBERTAD AVANZA
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,118,NATIVOS,351,3,DIPUTADOS/AS NACIONALES,POSITIVO,28,30503,JUNTOS POR EL CAMBIO
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,118,NATIVOS,351,3,DIPUTADOS/AS NACIONALES,EN BLANCO,1,undefined,undefined
2023,GENERAL,PROVISORIO,NORMAL,3,Catamarca,0,1,Capital,00003,00003,118,NATIVOS,351,3,DIPUTADOS/AS NACIONALES,NULO,4,undefined,undefined
